TT				PID				AT				CT				IO_D					WT				RT				TRT
18				4				2				8				21 						9				2				17
19				10				6				4				20 						10				6				14
23				1				1				38				0 						1				1				23
23				41				3				36				0 						21				3				21
23				38				2				37				0 						22				2				22
23				36				1				38				0 						1				1				23
23				39				2				37				0 						22				2				22
41				2				1				41				0 						0				1				41
41				37				1				41				0 						30				1				41
41				43				8				34				0 						34				8				34
41				48				25				39				0 						17				25				17
41				47				24				40				0 						18				24				18
56				11				6				7				15 						44				6				51
61				45				20				20				0 						22				20				42
61				54				42				20				0 						20				42				20
61				55				44				18				0 						1				44				18
61				57				47				15				0 						15				47				15
61				56				45				17				0 						17				45				17
76				51				39				37				0 						1				39				38
76				53				42				35				0 						35				42				35
76				52				40				37				0 						37				40				37
89				58				50				26				0 						14				50				40
89				61				66				23				0 						24				66				24
89				60				63				26				0 						27				63				27
96				66				90				6				0 						1				90				7
101				49				31				25				0 						46				31				71
101				62				78				24				0 						7				78				24
101				63				80				22				0 						11				80				22
101				68				91				21				0 						11				91				11
101				65				82				20				0 						20				82				20
101				67				90				22				0 						12				90				12
101				64				81				21				0 						21				81				21
101				21				19				35				13 						48				19				83
101				70				98				4				0 						4				98				4
101				69				97				5				0 						5				97				5
103				20				19				3				0 						82				19				85
108				59				62				8				0 						39				62				47
108				71				101				8				0 						2				101				8
108				75				103				7				0 						6				103				6
108				74				103				6				0 						6				103				6
108				72				102				8				0 						7				102				7
116				29				26				3				7 						88				26				91
126				78				111				3				0 						13				111				16
126				83				126				1				0 						1				126				1
126				82				125				2				0 						2				125				2
142				73				103				39				0 						1				103				40
142				77				110				32				0 						33				110				33
142				81				112				30				0 						31				112				31
144				40				3				41				0 						101				3				142
163				27				25				2				10 						137				25				139
171				42				4				40				0 						128				4				168
171				88				145				27				0 						27				145				27
171				84				127				33				0 						45				127				45
171				76				106				36				0 						44				106				66
171				85				128				32				0 						44				128				44
171				79				111				33				0 						42				111				61
171				80				112				32				0 						60				112				60
174				44				13				21				0 						141				13				162
174				86				138				19				0 						37				138				37
174				46				21				19				0 						150				21				154
174				87				140				17				0 						35				140				35
197				89				175				23				0 						0				175				23
197				94				183				15				0 						15				183				15
197				92				177				21				0 						21				177				21
197				90				176				22				0 						14				176				22
197				93				177				21				0 						21				177				21
200				98				197				4				0 						0				197				4
200				101				200				1				0 						1				200				1
200				99				197				4				0 						4				197				4
200				30				26				26				0 						149				26				175
200				97				196				5				0 						2				196				5
218				91				177				21				0 						21				177				42
218				100				200				19				0 						1				200				19
218				102				201				18				0 						18				201				18
218				105				203				17				0 						0				203				16
218				107				205				15				0 						14				205				14
218				106				203				17				0 						16				203				16
218				104				202				18				0 						17				202				17
223				13				10				12				26 						202				10				214
224				18				14				20				6 						191				14				211
232				9				6				11				30 						216				6				227
241				96				195				36				0 						11				195				47
241				103				201				36				0 						18				201				41
241				110				219				30				0 						23				219				23
241				108				207				30				0 						12				207				35
241				113				225				24				0 						17				225				17
241				109				219				36				0 						23				219				23
241				112				221				34				0 						21				221				21
255				50				33				23				0 						200				33				223
255				111				220				16				0 						23				220				36
255				120				245				13				0 						11				245				11
255				116				242				14				0 						1				242				14
255				122				249				7				0 						7				249				7
255				121				245				11				0 						11				245				11
255				119				244				14				0 						12				244				12
272				31				28				9				31 						236				28				245
292				129				266				27				0 						0				266				27
292				131				271				22				0 						22				271				22
292				130				266				27				0 						27				266				27
307				24				22				24				11 						262				22				286
308				132				289				15				0 						5				289				20
308				137				297				12				0 						1				297				12
308				140				299				10				0 						10				299				10
308				139				298				11				0 						11				298				11
308				138				297				12				0 						12				297				12
308				117				242				31				0 						36				242				67
308				125				260				26				0 						49				260				49
308				128				263				25				0 						46				263				46
308				123				257				29				0 						50				257				52
308				124				259				28				0 						36				259				50
308				126				261				27				0 						48				261				48
328				115				234				31				0 						64				234				95
328				118				243				30				0 						86				243				86
328				145				311				17				0 						18				311				18
343				32				30				41				6 						299				30				314
347				8				5				46				0 						297				5				343
363				151				356				8				0 						0				356				8
363				155				362				2				0 						1				362				2
363				156				363				2				0 						1				363				1
363				154				360				4				0 						4				360				4
380				95				194				37				0 						150				194				187
380				148				330				30				0 						47				330				51
380				147				329				31				0 						52				329				52
380				127				262				31				0 						90				262				119
380				158				365				16				0 						16				365				16
380				150				332				28				0 						49				332				49
380				149				331				29				0 						50				331				50
381				159				369				12				0 						1				369				13
381				161				372				10				0 						10				372				10
381				160				370				12				0 						12				370				12
383				157				364				17				0 						3				364				20
383				163				373				11				0 						9				373				11
383				162				372				12				0 						12				372				12
384				23				21				46				0 						318				21				364
385				153				360				20				0 						6				360				26
392				3				1				43				17 						349				1				392
392				152				358				6				0 						35				358				35
397				17				14				48				6 						336				14				384
405				26				25				19				31 						362				25				381
413				12				9				46				1 						359				9				405
417				146				319				31				0 						68				319				99
417				167				388				29				0 						30				388				30
417				168				391				26				0 						27				391				27
426				16				13				21				16 						393				13				414
428				19				17				42				22 						370				17				412
433				164				382				41				0 						11				382				52
433				169				391				41				0 						43				391				43
433				170				393				39				0 						41				393				41
443				5				2				45				0 						397				2				442
446				7				3				34				22 						410				3				444
