TT				PID				AT				CT				IO_D					WT				RT				TRT
8				7				7				47				23 						2				7				2
14				341				3				12				0 						0				3				12
14				146				3				12				0 						4				3				12
14				988				8				11				0 						7				8				7
14				303				7				12				0 						8				7				8
14				973				4				11				0 						11				4				11
14				824				3				12				0 						1				3				12
14				627				4				11				0 						11				4				11
24				240				4				11				0 						10				4				21
24				136				14				11				0 						11				14				11
24				444				15				10				0 						10				15				10
32				8				8				11				1 						25				8				25
52				2				4				38				0 						11				4				49
52				603				16				37				0 						37				16				37
52				493				15				38				0 						38				15				38
60				5				6				5				24 						51				6				55
60				520				26				5				0 						35				26				35
60				884				27				4				0 						34				27				34
62				4				5				48				0 						10				5				58
62				933				16				47				0 						47				16				47
62				669				15				48				0 						48				15				48
70				6				7				41				0 						23				7				64
70				582				30				41				0 						41				30				41
70				778				31				40				0 						40				31				40
94				14				14				17				0 						64				14				81
94				806				79				16				0 						16				79				16
94				360				78				17				0 						17				78				17
99				17				16				5				0 						79				16				84
99				588				96				4				0 						4				96				4
99				270				95				5				0 						5				95				5
100				314				25				2				0 						74				25				76
100				847				100				1				0 						1				100				1
100				618				99				2				0 						2				99				2
100				1				3				12				33 						86				3				98
100				166				94				7				0 						7				94				7
100				333				93				8				0 						8				93				8
106				3				5				2				15 						100				5				102
106				342				106				1				0 						1				106				1
107				31				29				42				16 						79				29				79
113				21				19				11				0 						84				19				95
113				36				104				10				0 						10				104				10
113				925				103				11				0 						11				103				11
115				22				19				25				16 						90				19				97
115				861				85				25				0 						31				85				31
115				295				86				24				0 						30				86				30
119				24				22				6				12 						92				22				98
119				696				115				5				0 						5				115				5
119				678				114				6				0 						6				114				6
136				35				35				30				0 						72				35				102
136				78				107				30				0 						30				107				30
136				143				108				29				0 						29				108				29
143				23				20				41				0 						83				20				124
143				342				103				41				0 						41				103				41
143				480				104				40				0 						40				104				40
164				402				63				28				0 						74				63				102
164				200				138				27				0 						27				138				27
164				909				137				28				0 						28				137				28
169				19				18				16				11 						150				18				152
169				751				101				16				0 						69				101				69
169				825				102				15				0 						68				102				68
174				33				31				11				0 						133				31				144
174				331				164				11				0 						11				164				11
174				373				165				10				0 						10				165				10
187				556				53				21				0 						114				53				135
187				325				168				20				0 						20				168				20
187				105				167				21				0 						21				167				21
191				747				64				27				0 						101				64				128
191				763				165				27				0 						27				165				27
191				219				166				26				0 						26				166				26
207				757				54				20				0 						134				54				154
207				764				189				19				0 						19				189				19
207				193				188				20				0 						20				188				20
219				876				70				28				0 						122				70				150
219				837				193				27				0 						27				193				27
219				227				192				28				0 						28				192				28
220				34				32				46				0 						143				32				189
220				661				176				45				0 						45				176				45
220				171				175				46				0 						46				175				46
233				411				71				14				0 						149				71				163
233				700				221				13				0 						13				221				13
233				301				220				14				0 						14				220				14
234				427				71				27				0 						137				71				164
234				170				209				26				0 						26				209				26
234				161				208				27				0 						27				208				27
243				472				79				23				0 						142				79				165
243				62				222				22				0 						22				222				22
243				220				221				23				0 						23				221				23
246				603				72				13				0 						162				72				175
246				776				235				12				0 						12				235				12
246				705				234				13				0 						13				234				13
265				61				80				22				0 						164				80				186
265				223				244				22				0 						22				244				22
265				182				245				21				0 						21				245				21
271				551				83				6				0 						183				83				189
271				74				267				5				0 						5				267				5
271				1				266				6				0 						6				266				6
273				87				72				39				0 						163				72				202
273				744				235				39				0 						39				235				39
273				50				236				38				0 						38				236				38
283				667				87				12				0 						185				87				197
283				53				273				11				0 						11				273				11
283				423				272				12				0 						12				272				12
283				9				9				21				14 						258				9				275
284				844				73				38				0 						174				73				212
284				313				247				38				0 						38				247				38
284				804				248				37				0 						37				248				37
289				11				11				14				5 						272				11				279
291				100				82				7				0 						203				82				210
291				819				286				6				0 						6				286				6
291				584				285				7				0 						7				285				7
299				10				9				28				9 						263				9				291
299				378				275				25				0 						25				275				25
299				190				274				26				0 						26				274				26
300				12				13				28				6 						260				13				288
300				701				293				8				0 						8				293				8
300				287				292				9				0 						9				292				9
308				421				93				22				0 						194				93				216
308				227				288				21				0 						21				288				21
308				170				287				22				0 						22				287				22
312				289				86				13				0 						214				86				227
312				55				301				12				0 						12				301				12
312				94				300				13				0 						13				300				13
323				722				92				23				0 						209				92				232
323				862				302				22				0 						22				302				22
323				380				301				23				0 						23				301				23
325				867				101				7				0 						218				101				225
325				52				320				6				0 						6				320				6
325				292				319				7				0 						7				319				7
331				614				100				8				0 						224				100				232
331				820				325				7				0 						7				325				7
331				561				324				8				0 						8				324				8
359				294				121				34				0 						205				121				239
359				348				326				34				0 						34				326				34
359				767				327				33				0 						33				327				33
365				421				102				43				0 						221				102				264
365				397				324				42				0 						42				324				42
365				535				323				43				0 						43				323				43
375				854				101				44				0 						231				101				275
375				789				333				43				0 						43				333				43
375				803				332				44				0 						44				332				44
382				674				145				23				0 						215				145				238
382				836				360				23				0 						23				360				23
382				123				361				22				0 						22				361				22
404				223				120				35				0 						250				120				285
404				671				370				35				0 						35				370				35
404				644				371				34				0 						34				371				34
413				25				23				35				8 						356				23				391
413				926				406				8				0 						8				406				8
413				640				405				9				0 						9				405				9
414				906				146				32				0 						237				146				269
414				337				383				32				0 						32				383				32
414				359				384				31				0 						31				384				31
417				28				27				44				8 						347				27				391
417				793				379				39				0 						39				379				39
417				313				380				38				0 						38				380				38
441				357				144				24				0 						274				144				298
441				675				419				23				0 						23				419				23
441				574				418				24				0 						24				418				24
450				754				157				37				0 						257				157				294
450				863				414				37				0 						37				414				37
450				214				415				36				0 						36				415				36
452				151				156				38				0 						259				156				297
452				765				415				38				0 						38				415				38
452				717				416				37				0 						37				416				37
456				474				284				4				0 						169				284				173
456				357				454				3				0 						3				454				3
456				125				453				4				0 						4				453				4
472				8				147				31				0 						295				147				326
472				508				443				30				0 						30				443				30
472				735				442				31				0 						31				442				31
472				966				309				16				0 						148				309				164
472				175				458				15				0 						15				458				15
472				362				457				16				0 						16				457				16
475				980				163				3				0 						310				163				313
475				585				473				3				0 						3				473				3
475				719				474				2				0 						2				474				2
478				15				16				7				22 						456				16				463
478				922				478				1				0 						1				478				1
480				27				26				24				1 						431				26				455
480				437				477				4				0 						4				477				4
480				801				476				5				0 						5				476				5
494				444				368				16				0 						111				368				127
494				804				480				15				0 						15				480				15
494				13				479				16				0 						16				479				16
495				542				310				15				0 						171				310				186
495				30				482				14				0 						14				482				14
495				770				481				15				0 						15				481				15
499				139				376				5				0 						119				376				124
499				515				496				4				0 						4				496				4
499				124				495				5				0 						5				495				5
503				95				314				31				0 						159				314				190
503				776				474				30				0 						30				474				30
503				608				473				31				0 						31				473				31
527				77				313				32				0 						183				313				215
527				470				496				32				0 						32				496				32
527				459				497				31				0 						31				497				31
530				16				16				23				18 						492				16				515
530				268				530				1				0 						1				530				1
530				103				529				2				0 						2				529				2
531				18				17				13				31 						502				17				515
531				393				366				6				0 						166				366				166
531				688				367				5				0 						165				367				165
533				287				451				22				0 						61				451				83
533				207				513				21				0 						21				513				21
533				82				512				22				0 						22				512				22
535				57				377				4				0 						155				377				159
535				682				533				3				0 						3				533				3
535				904				532				4				0 						4				532				4
537				20				18				8				8 						512				18				520
537				873				537				1				0 						1				537				1
537				426				536				2				0 						2				536				2
544				29				27				32				10 						486				27				518
544				329				539				6				0 						6				539				6
544				986				538				7				0 						7				538				7
545				696				369				15				0 						162				369				177
545				402				532				14				0 						14				532				14
545				761				531				15				0 						15				531				15
547				167				466				2				0 						80				466				82
547				626				547				1				0 						1				547				1
547				753				546				2				0 						2				546				2
559				988				468				26				0 						66				468				92
559				32				534				26				0 						26				534				26
559				610				535				25				0 						25				535				25
560				30				28				3				28 						530				28				533
560				763				560				1				0 						1				560				1
570				558				504				26				0 						41				504				67
570				717				545				26				0 						26				545				26
570				633				546				25				0 						25				546				25
574				447				500				14				0 						61				500				75
574				480				561				14				0 						10				561				14
574				204				571				14				0 						4				571				4
574				861				562				13				0 						13				562				13
574				900				572				13				0 						3				572				3
574				905				467				27				0 						81				467				108
574				172				548				27				0 						27				548				27
574				384				549				26				0 						26				549				26
576				26				23				23				19 						531				23				554
576				941				575				2				0 						1				575				2
576				970				576				1				0 						1				576				1
576				555				576				2				0 						1				576				1
579				866				527				3				0 						50				527				53
579				870				577				3				0 						3				577				3
579				48				578				2				0 						2				578				2
580				13				14				39				38 						528				14				567
580				793				580				1				0 						1				580				1
590				32				29				38				12 						524				29				562
590				236				575				16				0 						2				575				16
590				56				582				14				0 						9				582				9
590				376				578				15				0 						13				578				13
590				735				576				15				0 						5				576				15
590				287				581				15				0 						10				581				10
590				915				577				16				0 						14				577				14

Processes: 252
Avg WT: 77, 		Avg RT = 251, 		Avg TRT = 84
Migration %: 			RTF = 0%, 		MaxW = 0%
Work Steal %: 0%
Forked Process: 86.1111%
Killed Process: 3.1746%

Processors: 3[3 FCFS, 0 SJR, 0RR]
Processors Load
p1 = 2.75963%,		p2 = 2.76433%,		p3 = 2.75963%


Processors Utiliz
p1 = 99.3232%,		p2 = 99.4924%,		p3 = 99.3232%
Avg utilization = 99.3796
