TT				PID				AT				CT				IO_D					WT				RT				TRT
8				7				7				47				23 						2				7				2
14				36				3				12				0 						0				3				12
14				39				3				12				0 						4				3				12
14				45				8				11				0 						7				8				7
14				42				4				11				0 						11				4				11
14				44				7				12				0 						8				7				8
14				37				3				12				0 						1				3				12
14				43				4				11				0 						11				4				11
14				38				3				12				0 						1				3				12
14				41				4				11				0 						11				4				11
24				40				4				11				0 						10				4				21
24				46				14				11				0 						11				14				11
24				50				15				10				0 						10				15				10
32				8				8				11				1 						25				8				25
52				2				4				38				0 						11				4				49
52				53				16				37				0 						37				16				37
52				49				15				38				0 						38				15				38
60				5				6				5				24 						51				6				55
60				48				15				5				0 						46				15				46
60				52				16				4				0 						45				16				45
61				4				5				48				0 						9				5				57
61				47				14				48				0 						24				14				48
61				61				38				48				0 						24				38				24
61				62				39				47				0 						23				39				23
61				51				15				47				0 						47				15				47
66				17				16				5				0 						46				16				51
66				67				63				4				0 						4				63				4
66				65				62				5				0 						5				62				5
66				6				7				41				0 						19				7				60
66				57				26				41				0 						41				26				41
66				58				27				40				0 						40				27				40
82				21				19				11				0 						53				19				64
82				76				73				10				0 						10				73				10
82				75				72				11				0 						11				72				11
85				14				14				17				0 						55				14				72
85				73				69				17				0 						17				69				17
85				74				70				16				0 						16				70				16
86				55				20				20				0 						47				20				67
86				71				68				19				0 						19				68				19
86				69				67				20				0 						20				67				20
88				56				25				2				0 						62				25				64
88				88				88				1				0 						1				88				1
88				86				87				2				0 						2				87				2
91				1				3				12				33 						77				3				89
91				84				85				7				0 						7				85				7
91				83				84				8				0 						8				84				8
107				31				29				42				16 						79				29				79
108				24				22				6				12 						81				22				87
108				99				103				6				0 						6				103				6
108				100				104				5				0 						5				104				5
114				54				19				21				0 						75				19				96
114				96				95				20				0 						20				95				20
114				94				94				21				0 						21				94				21
115				22				19				25				16 						90				19				97
115				98				97				24				0 						19				97				19
115				97				96				25				0 						20				96				20
123				33				31				11				0 						82				31				93
123				106				114				10				0 						10				114				10
123				105				113				11				0 						11				113				11
123				23				20				41				0 						63				20				104
123				82				84				40				0 						40				84				40
123				81				83				41				0 						41				83				41
125				3				5				2				15 						119				5				121
125				114				125				1				0 						1				125				1
153				35				35				30				0 						89				35				119
153				111				124				30				0 						30				124				30
153				113				125				29				0 						29				125				29
153				59				36				28				0 						90				36				118
153				115				126				28				0 						28				126				28
153				117				127				27				0 						27				127				27
163				60				37				27				0 						100				37				127
163				120				138				26				0 						26				138				26
163				119				137				27				0 						27				137				27
169				19				18				16				11 						150				18				152
169				92				93				15				0 						77				93				77
169				91				92				16				0 						78				92				78
180				64				54				27				0 						100				54				127
180				125				155				26				0 						26				155				26
180				123				154				27				0 						27				154				27
186				34				32				46				0 						109				32				155
186				122				142				45				0 						45				142				45
186				121				141				46				0 						46				141				46
191				63				53				28				0 						111				53				139
191				127				164				28				0 						28				164				28
191				128				165				27				0 						27				165				27
192				70				67				39				0 						87				67				126
192				126				155				38				0 						38				155				38
192				124				154				39				0 						39				154				39
194				66				62				14				0 						119				62				133
194				130				182				13				0 						13				182				13
194				129				181				14				0 						14				181				14
200				12				13				28				6 						160				13				188
200				135				193				8				0 						8				193				8
200				133				192				9				0 						9				192				9
207				68				63				13				0 						132				63				145
207				138				196				12				0 						12				196				12
207				137				195				13				0 						13				195				13
212				10				9				28				9 						176				9				204
212				132				188				25				0 						25				188				25
212				131				187				26				0 						26				187				26
213				95				94				7				0 						113				94				120
213				142				208				6				0 						6				208				6
213				140				207				7				0 						7				207				7
